Description,Actual_cate,Predicted_cate
provide additional test devices hello wallet mobile app needs testing which gave number devices please provide devices well galaxy plus addresses which host intern host proxy host proxy test host test proxy host test host inside secure thank consultant mobile,0,0
sent thursday pass hello have lost badge pass could you please advise what should kind regards engineer,2,2
sent tuesday march faulty cable hello could you please assign ticket for changing faulty cable please let know if you require any further information matter thank you analyst,0,0
investigate hello please kindly investigate which accounts by app based activity say needed while investigating taken consideration shared accounts mailbox where users connect own kept disabled contacted further needed best regards senior engineer ext zone,4,4
joiner rights hi please help needed joiner per confluence spaces environments stag test test test test currently sitting infrastructure more secure due sensitive testers license taken care visual studio license studio taken care create user thank mobile,4,4
backups needed production environment hi please log database backup core session jobs databases please backups via because update environment thanks best regards application engineer,0,0
sent wednesday october battery issues dear battery lasts only for maximum hour usually have longer meetings have take charger with everywhere could you please help thanks tester,3,3
add users confluence prod users hello please add confluence prod users confluence thank senior developer,4,4
sent tuesday february re access card usage hello realized lost access card could you please block old card assign card for apologize but find kind regards,2,2
sent thursday october mobile phone problems mobil se si pot sa sa la update si la sa la tool specialist,3,3
employees other which cards more than days steps explorer key holders select select user press shift user take few minutes right instant report export report save file reports save file computer filter excel file based date,1,1
sent november polls down possible issue hi two polls went down yesterday poll remaining status down poll battery status down after taking closer look found logs communication for was interrupted after several unauthorized access attempts looks like cards devices were restarted result some kind flood attack following lines appear repeatedly logs devices detected unauthorized attempting access interface interface restarted please investigate best regards engineer,2,0
friday october pm re poll virtual status down has assigned hi everyone thank best regards friday october pm poll virtual status down has assigned hello please change poll threshold instead asking because staging environment where performs different types tests added leader confirmation needed thank best regards senior engineer,0,0
card hello card accidentally broken please create regards test consultant,1,1
friday pm re visitor cards review hi update visitor also found please keep active thank,1,1
upgrade center hi guys please works log tickets inform thank october re upgrade center se si cat ca se assessment similar care si ca si si post october re upgrade center merge cum fie fie pot la lead october re upgrade center care face fie october upgrade center se la la ii legate lead october production re upgrade center upgrade se va face sector cod postal va minute va ne coordinator logo member mobile phone st rd floor friday october pm production re upgrade center se face pm ne pl cut lead october production re upgrade center si ore coordinator logo member mobile phone st rd floor friday october pm production re upgrade center dup cum prefer ore cum la lead october production re upgrade center va si upgrade sector cod postal downtime minute center downtime minute la rapid ca va si coordinator logo member mobile phone st rd floor thursday october pm production re upgrade center lead october production re upgrade center la moment ca merci thursday october pm production re upgrade center bun interval rug ne se va produce downtime lead october production upgrade center cum la ne downtime upgrade downtime va coordinator image removed by member mobile phone st rd floor attachments confidential privileged attachments multiplied writing agreement received by mistake please notify by return delete unauthorized dissemination whole part strictly prohibited please note mails susceptible change shall liable improper incomplete transmission information contained communication nor delay receipt damage image removed by please consider environment printing,0,0
switch problem switch la ca si merge port mea si intr date va si va best regards tester,0,1
sent friday october th floor front door hello unfortunately we cannot use front door th floor blocked kindest regards manager en,3,2
complete colombia dear please help completed form testing internship student intern joining well please complete going his where he going seated thank compliance officer colombia,3,3
modify record hello please log assign record pointing best regards senior engineer,0,0
december pm secure area hi please secure area please mentor move rd floor tower thanks officer,1,1
july pm hi please much appreciate done earliest convenience today thank much help regards officer,1,1
sent wednesday november access card dear please be informed access card issued for cleaning should be deactivated due fact working anymore for thanks regards manager en,2,2
sent thursday issues dear teams one our observed temp accessible for everybody there files with personal data could you please investigate if acceptable regards engineer,2,2
sent thursday october disk space full hi could you please help with following issue trying log into but says disk full log functionality work need be up running possible regards master,3,3
tuesday december pm transfer dear please find attached transfer form thank regards,1,1
sent friday february lost badges hello could you deactivate following visitor cards thank you have lovely manager,2,2
provide additional test device hello wallet mobile app needs testing which gave number devices please provide device well se developer uses phone addresses which device needs host intern host proxy host proxy test host test proxy host test host inside secure thank consultant mobile,0,0
purchase po dear purchased galaxy link mobile please log allocation kind regards administrator,3,3
charger hello please provide charger today thank,3,3
preparer role needed hi kindly assist kind regards functional analyst thursday pm preparer role needed hi please preparer role please possible kind regards administrator,4,4
change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm,4,4
sent friday th floor balcony door hi guys th floor balcony door closing completely own ends up staying open for hours think goes close enough trigger alert through though please have look thank you manager,2,2
sent thursday button door importance high good afternoon button door working we can open door come or out can be looked into possible please kind regards receptionist,0,2
restrict hi please restrict secure area name date thanks officer,1,1
sent wednesday march hello have but can server transfer some files can you please assist best regards engineer,0,0
outage hello please out outage communication users per cr possible please out outage today by tomorrow morning well notify sd prior suspending affected polls thanks kind regards officer,0,0
re initiated hi please mentioned virtual machine view add thank test consultant mobile thursday re initiated hi please mentioned virtual machine view add thank test consultant mobile friday initiated test help creation virtual machine successfully initiated track progress by clicking link after approved test deploy possible receive confirmation best regards test common logo,0,0
sent tuesday february important hi could you raise ticket with summary whale fraud received look alike domain assign please we investigating origin received should record details properly kind regards sent february important dear sending you second fraudulent received by week thank you for taking further action have great accounts payable sent tuesday february important hi have you got minute currently tied up meeting we need make for invoice needs for today appreciate if you can handle let know can pass across further information you thanks best regards sent,2,2
badges work hi please setup badge work schedule visit next weeks months helpful instead asking visitors ones thanks,1,1
re visit sat leaking ceiling good morning we having issue accessing your room using code we were provided please can you confirm if there code we should be using currently engineer can only complete work you need him kind regards manager old broad street mob disclaimer confidential ordinary address was addressed contain privileged information if you intended recipient please notify delete message without copying or using for any purpose unlawful informal method communication subject possible data corruption either accidentally or purpose for these reasons normally be inappropriate rely important information contained without obtaining written confirmation except where we have specifically agreed with you electronic please visit our wrote good afternoon writing confirm appropriate aware arrival tomorrow fix leaking ceiling make there going be problem with access engineer need be escorted up floor have made aware access approved parking come served basis thank you for your operation kindest regards receptionist disclaimer information contained communication confidential intended solely for use by recipient others authorized receive if you recipient you hereby notified any disclosure copying or taking action relation contents information strictly prohibited be unlawful scanned for viruses have automatically archived by innovator software for providing safer more useful place for your human generated data specializing archiving compliance find out more visit,2,2
please change port urgent hello please migrate port which adapter plugged physical thanks senior developer registered under number whose registered old broad street kingdom provide clients each,0,0
hello out forward thank engineer wednesday pm hello help thank engineer,0,0
sent tuesday client production server being attacked importance high dear client reported address source address please help investigating pc doing attack filter source host prod or host prod type apache whoever using tool or part thereof checks for vulnerabilities requests sent through between manager applications ext en,2,0
storage dear please help storage kickoff thanks,0,0
floor hi please floor colleague he joined today thank officer,4,1
sent monday february slow transfer speed hi we have problem with slow copying speed can you please look into regards developer mobile en,0,0
sent thursday th floor door hello guys th floor front door can be without using badges can you please help with thank you manager,2,2
wants shareable content guidelines tips please user accept decline requests,4,4
hi environment mode weekend duration during period won accessible please communication users client heads client infrastructure please find attached completed form additional information please hesitate thank analyst,4,4
issue replacement hello let during months issue efficiently mouse device has periodically moving control side issue persist matter mouse thought handle becomes annoying sometimes especially critical situations meetings presenting had wait mouse resuscitation kindly ask replacement thanks,3,3
hello received workstation granted ad please help thanks,4,4
forgot cable cable return,3,3
february st dear please find attached starter forms interns move employment contract february st after finished internship thank kind regards administrator,4,4
purchase po has assigned dear please separate hardware allocation regards engineer date wednesday pm purchase po has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location generic location summary purchase po additional comments requirements purchase po dear purchased received items xxx lite updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator assign reference assignment summary purchase po location generic location attachments image please link kind regards please ref msg,3,3
sent friday re starter access card enabling hi we have problem with card well please assign for one cards told couple days ago our possession have idea there these cards thank you sent thursday starter access card enabling hello could you please advise whom card number assigned for please activate card number for her suspend card number until response provided looking forward hearing you thanks kind regards analyst ext hub sent thursday re starter access card enabling hi please assign access card for one already assigned our possession thank you sent wednesday starter access card enabling hello please activate card number for whom start working tomorrow thanks kind regards analyst ext hub,2,2
cannot while bluecoat proxy hello please advised issue running while connected tm investigating suggested follow instructions outlined attached document seeing how these please let users install certificate kind regards specialist,0,0
sent friday october re virus yes getting senior software tester sent friday october re virus hi help with scanning your computer for virus presumably you think you have got virus because your contacts receiving unexpected you containing unusual them kind regards information compliance officer extension or sent october virus hello seems got myself virus tricky part haven clicked anything can even imagine how got any ideas how remove regards senior software tester,3,3
poll warning status down has assigned hello please assign delete pool disk kind regards engineer re poll warning status down has assigned hello everyone discussed meeting let proceed recommended by best solution delete poll monitor disk done by needed assist poll virtual disk same description currently existing thank re poll warning status down has assigned hi apologies delayed response decommissioned host probably kept store other making decision regard things clear discuss away until setup minute call him next clarify details regards application pm move advised he obtained details ask next about added thank poll warning status down has assigned hello help resolve aspects addressing monitoring change per suggestion makes sense validate progress issue offers application provide os ask logs retention policies review logs format etc permission deal kindly advise matter review overall setup host application feeling wrongly setup resources inefficiently because host contains application video surveillance regards owner wednesday re poll warning status down has assigned hello degraded cannot definitely think poll partition wrongly configured maybe delete poll monitor disk because host forever helped re poll warning status down has assigned hello gents sorry chasing issue persisting clear view how solve poll grew best solution needed shrink disk increase threshold add additional host thank waiting kind regards engineer tuesday july re poll warning status down has assigned hello host video surveillance make physical instead virtual installed added help disk partition other big partition host think safe shrink disk regards senior engineer poll warning status down has assigned hello updates about thank waiting kind regards engineer thursday july re poll warning status down has assigned hello everyone please advise presented by understand present take almost host how recordings kept spare components extend thank july poll warning status down has assigned hello updates about thank waiting kind regards engineer wednesday july poll warning status down has assigned hello disk host has designed store moment host running disk than grow cause exhaustion disk solution increase warning threshold critical please advise about thank waiting kind regards engineer tuesday july poll warning status down has assigned please advised record number has assigned please review details take appropriate action description poll warning status down poll output partition over threshold summary poll warning status down number priority moderate assignment location monitoring please link kind regards ref msg,0,0
call phone return dear mobile has phone call which returned till because closed please returning process thank,3,3
sent tuesday event notification data event th floor back door open source et back details details details,2,2
po hello kindly asking write po please let additional information required side kind regards leader ext st emergency number,4,4
sent saturday november pin code phone stopped working importance high hi entered pin phone but said wrong pin phone etc but still does let please can you help thanks regards head testing mob,3,3
sent access card working hello access card for stopped working hours ago please note work th floor need access there too please advise kind regards,2,2
plug adapters hello guys please provide plug adapters pieces trip purposes thanks best regards engineer,3,3
lost access card hello please access card belongs being lost we need provide him one with full access thank you manager,2,2
upgrade available version hi rights rights application level which running please find thank wednesday pm re upgrade available version hi please friday pm re upgrade available version hello also dashboard thank re upgrade available version hi everyone order upgrade require rights rights application level implement change impact app notified after depends question response code log effort estimate about initial setup done recommended by app looking forward feedback questions please let best regards friday pm re upgrade available version thank friday pm upgrade available version hello had call his take ownership task he come details needed issue fixed further details please let best regards senior engineer,0,0
lost access card dear can you please block access card have lost somewhere please let know what should order get one thank you best regards,2,2
req discovery report hello please attached possible side provide report networks tried reconnoiter perimeter networks thanks best regards senior engineer ext zone,0,0
friday february badges allocation school february importance high dear february joiners programme help badges allocation please help matter possible help other information hesitate regards,1,1
sent wednesday card access hello wanted announce lost card access building thanks software engineer mobile,2,2
hi please include thank officer floor blvd district,4,4
hello guys please each thank hello merger taken over assessment has decided move circuit notified morning working install circuit please escort premises while performing installation plan replace circuit once replacement complete please assess circuit parameters determine suitable become main circuit assessment reveals then please circuit primary circuit cold standby considering circuit size both circuits move active standby model lead,0,0
computer available hi since december maternity leave computer working thanks pean developer,3,3
dear please help copy thanks lead architect,3,3
re contract due hi please note kind regards mobility officer contract due dear contract due please contract extended date note by disabled contract ended thank,4,4
sent friday february card hi seems access card working properly can you help thanks,2,2
administration hello please administration checking groups by administered because controllers groups voice mails kindly thank engineer,0,0
wednesday please create clone machine ad azure infrastructure assign wednesday re va ad azure core wednesday cum mea ad si ad si azure ad instant core gram si instant core gram,0,0
card building good morning card working underground parking entries building please thank,4,2
physical dear kindly physical within sixth floor possible he has started work november thanks,1,1
friday july pm floors importance high hi please secure area tower morning respect well thank regards officer,1,1
work satisfaction dear dashboard unavailable thursday please notify users attached document application down because work deploy thanks engineer,4,4
sent friday march lost badge pass hey lost badge could you please block give one thank you have,2,2
scam received please hi received attached please kind regards senior engineer,4,4
hi please log assign please investigate revoke role user best regards analyst pm dear lead receiving report part established weekly process please review report thorough identify unapproved role assignment outstanding please investigate circumstances event report incidents must recorded confluence activity since role name activity type name date assigned assigned by days revoke specialist salary revoked application administrator granted report role name description name date assigned assigned by application consultant manages wide implementations collaborates application administrators implement consistent application setup architecture information rules has setup tasks across products fin user fin user fin user fin user user fin user fin user setup user setup setup fin user fin user framework application manages monitors offerings options features assigns resources tasks fin user fin user fin user fin user user fin user fin user setup user setup fin user fin user framework compensation administrator manages administration compensation objects batch processes fin user setup fin user corporate card administrator oversees functioning corporate card programs card programs provides cardholders assures made timely delinquencies incurred fin user fin user contract administrator works teams author contracts tracks critical contract milestones level agreements assists teams during contract renewals amendments framework fin user user scheduled fin user application administrator application administrator fin user setup fin user specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist view salary specialist view salary contract administrator performs duties both contract administrator supplier contract administrator fin user fin user application administrator manages application administration collaborates application users maintain consistent application setup rules fin user fin user fin user user implement fin user fin user fin user functional setups user uses functional user overview assigned tasks task lists role inherits functional setups duty job role maintains relationship role role addresses dependency issues directly inherited by product job duty role fin user setup fin user fin user application administrator view application administrator view user implement setup human application administrator human resources application has duty roles implement compensation offerings fin user user implement setup protects assets information networks fin user fin user fin user fin user user fin user framework framework setup fin user fin user application administrator administers installation application model fin user fin user fin user fin user fin user administrator assists running responds employees questions concerning run various processes print out statement earnings reconcile charges reconcile sheets verify items verify results setup application administrator responsible technical aspects keeping available well configuring meet needs fin user fin user user implement fin user fin user fin user application administrator collaborates application users maintain consistent application configuration rules user fin,4,4
re needed thanks these please add these kind regards needed hi guys received similar complaints worth having these received today best regards lead id image twitter date thursday needed scraping leads generation please give,2,4
cable hi please log providing cable yesterday thank programme officer,3,3
leavers press hi tasks accomplished listed moved different client link change code holidays approver,4,4
re hi ask configurations please tickets teams ask remote configurations meeting room question arises because described where colleague connect her possibly without realising tv meeting room she because tv because tv has device attached which connect find out possible connect microphone camera tv via kind regards information compliance officer extension december re hello tv well least tv option allow tv via view automatically option by default reason somebody disabled think ask help please wrong regarding recording listening meeting tv has camera guess possible again tv has then sharing works phone pc tv vice versa friday december hello received funny issue about colleague connected her mobile device tv screen meeting room played christmas carols her tv screen connecting tv screen meeting room listen record view discussions without thanks thursday december la ca la san si cine information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,3,3
sent monday december very slow connection hello for about weeks connection extremely slow for we re working use connect client environments lately connection become slow we find very difficult work please investigate have about colleagues impacted please note whenever someone connects different location connection works fine thank you manager en,0,0
kb patches big issues hello please take consideration article decline two kb kb big impact users where cells form word disappear article after installing kb kb merged table cells work correctly word questions about please let decline two also users call because issues related word please two patches currently fix solution two regards senior engineer,0,0
registration report december hi timekeeping report related exported by please generate registration report december timekeeping same format overtime included thank director,1,1
unable teams hello please error getting attempting teams guys added think give successfully please treat bigger priority since re having meeting today part till then best regards engineer,4,4
upgrade dear please log tickets assign expanding her drive order needed win upgrade helping installing thank kind regards engineer,3,3
trying disable laptop but disable option works recommended by producer instructions tried combination works for identical colleagues also tried double tapping disable icon icon get light suspect either problem driver or hardware failure really need disable since palms staying top anytime need help solve thanks,3,3
confluence user creation pass hi please confluence also please persons confluence create thanks,4,4
card leaver la ultima firma va weekend va,1,1
sent thursday october tv hi we have problem with tv presentation flickers between each slide change over next slide properly can be looked into please thanks receptionist,3,3
sent monday printer issues hi xerox printer acting up daily since installed either printing gibberish til runs out or manually deleted web interface non jobs perhaps or being available other hand xerox printer presented issues whatsoever since put use can you please check settings drivers ensuring same one works fine if necessary adjust reinstall printer xerox printer xerox devices have same before request add domain was raised please log into queue thanks,3,3
sent monday address blocked by dear address experienced failed attempts when attempting log into running within minutes was blocked mon sincerely,0,0
during past days colleagues experienced downtime wireless connection seems be established however text appears when trying open browser message connection appears was experiences with with provided by client,0,0
error hi tried delete error occurred please attached please advise thank best regards user acceptance test tem tv,4,4
enable card hello please assign she maternity leave her card disabled during period re she building thank engineer ext,1,1
sent tuesday activate access card common areas hi whether or should perform above request sending joined today his access card activated common areas please can you request be activated possible card number thank you leader en,2,2
invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,4,4
extension cord good morning please advised due relocation extension cord provided by regards senior developer,3,3
replacement dear please log assign replace thank kind regards engineer,3,3
after powering laptop message preparing automatic repair appears prevents starting,3,3
sent monday printer found hi tried today print sent got error if printer was retrieved verified control panel devices printers if printer was still set up verified found printer cannot be contacted over connected via tried add printer seen below snapshot was returned only printers could someone please verify use always only connection for otherwise cannot connect for testing tasks thanks senior tester en,3,3
links dear links cacti graph action view id graph id cacti graph action view id graph id cacti graph action view id graph id result possible review update links attached decommissioned changed relevant report created thanks help analyst,0,0
tuesday pm re return maternity hello sorry pm return maternity hello provide starter form looking forward hearing thanks kind regards analyst ext hub tuesday return maternity hello please fill she well return maternity,1,1
change job titles dear please change job titles engineer engineer thank,4,4
called informed lost his badge,2,2
sent wednesday october badge hello lost badge can you please deactivate old one order one for thank you registered under number whose registered old broad street kingdom does provide any clients each subsidiaries separate entity,2,2
card va joiner va,1,1
common mailbox setup mobile hello best again crying out help has phone where receive common mailbox please help has entered other configuration details copied phone thanks lot analyst,4,4
sent october event notification data event ground floor balcony door open source balcony details details details,2,2
sent friday november tv stand wheel hello please log ticket for tv stand one wheel lose balance if another one breaks or if someone pushes by mistake thank you manager,3,3
file storage hello please provide folder file storage starting joined thank best regards analyst,0,0
sent friday october after relocation hello was moved th floor th floor able connect servers obtain class need address could you please help thank you senior engineer en information,0,0
interns hello dear please add planner specially confluence users calderon calderon puerto puerto thank lead,4,4
please storage dear please rights storage kickoff thanks,0,0
si hello please kind assist information requested kindest regards leader tuesday si care si accountant street center,0,0
sent friday november phone keeps logging out gets disconnected hello could you please assist with above mentioned there might be issue with cables have changed phones still happens currently had move desks went break upon returning phone was allowing press any keys unplugged cable was then stuck waiting discovery changed phones other one was also stuck discovery previously advised issue might be with cables even if move phone centimeter disconnects thanks kind regards analyst,3,3
added hello please joiners added thank,4,4
sent monday october ref la se card manager,3,2
february pm card va ii alt card se la,1,1
charts tool license recommendation needed dear colleagues calling advice product owner metrics application tool developed internally by agile teams keeping track productivity speed etc application allows both collection analysis metrics defined metrics built application analysis built charts bars etc currently making lift application preparing more customized approach based user needs matter want also allow user define own metrics choose type chart representation investigated few free examples public index cost involving ones please let licenses available charts mentioned ones others recommend require additional information further clarification regarding topic providing recommendation please let thank measurements,4,4
sent monday card va sa lost manager,2,2
sent thursday october display port problem la ca sa la tv adaptor laptop laptop tv tester,3,3
assigning card dear colleagues please kindly deactivate card belonging damaged activate card her thank much best regards,1,1
wants goods view accept decline requests,4,4
sent tuesday re update hi able access en below since was added can you please also add address you can handle request need for demo by tomorrow thanks senior manager sent monday update dear further our recent communication we believe your below query resolved if you with resolution there need for response however please let know if we can be any further assistance matter please note interactions between clients regularly monitored order make high quality maintained reference number summary resolver description sent monday hello like kindly ask you add address physical address cd can be completed by end today we have important demo with need possible thanks senior manager kind regards ext hub ref msg,0,0
hello please log best regards senior engineer thursday re hello due part anymore redirect please kind regards engineer thursday care nostrum inventory ca owner si ne care face la build etc engineer,4,4
re maternity leave sorry administration officer,3,1
rights hi please add colleague he needs rights secure where works his name thanks,1,1
device recovery report document feeder printer details tray tray copier details tray tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,4,3
sent monday march lists hi can you please review included apparently receiving receive below best regards sent march lists hi could you please re review list have included by have receiving additional since beginning last week related canada belgium file also external file receive have directed following addresses application americas please could you review details kind regards manager,2,2
please action reports please update he sick leave has whole kind regards planning officer infrastructure upcoming holiday friday february please consider environment print please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,4,4
backups staging environment hello please log database backup core jobs databases wednesday please done rollback needed anyone by thanks best regards application engineer,4,4
device recovery report printer tray has problem printer ready details copier ready details scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,0,3
transfer hi please find attached transfer form transfer client february st thank regards administrator,1,1
restrict hi please restrict secure area tower sooner better thank officer,1,1
sent wednesday march folder issue hello colleagues currently trying access shared drive cannot because folder for exist location can you please help with or can you please give another solution save shared file with regards test consultant,0,0
po template changes hi please thank engineer wednesday pm re po template changes hi had few updates these final ones fingers crossed moving please ensure po reference quoted invoice order avoid delays down decimal points decimals item price po terms conditions format justified layout example attached word doc possible align total under ordered appreciate cheers re po template changes hi done please regards friday december pm re po template changes hi attached contains more changes text please ensure po reference quoted invoice order avoid delays red better visibility bring quantity description pricing item description attached example cheers december re po template changes hi made requested changes please about po language templates each best regards engineer tuesday december pm re po template changes hi reviewed po amendments hard code text please ensure po reference quoted invoice order avoid delays center deliver name word promised text requested promised dates correspond date arrival location under words price ordered next figures example thanks december re po template changes hi modified po template test example screen also test phone entity please thanks wednesday december pm po template changes hi follow instructions amend po template test instance accordingly attached copy template currently questions please let hi kind enough change cheers thursday october pm re po template changes hi work progress moment po template extent his best tweak things around changes suggested ones presented attached please let concerns respect points addition phone under section intention automatically these by near future text saying invoice rejected po number reference please ensure po reference quoted invoice order avoid issues invoice processing mandatory po please ensure po reference quoted invoice order avoid delays removal promised date requested date po which currently disrupting way po displays items addition inside po against each possible bottom table avoid confusion raised about localization change po language depending entity which also explored agree important countries please let wish drop by further detail thanks kind regards thursday october re po template changes hi guys progressed action kind regards head wednesday pm re po template changes hi attached po which help format thanks po template changes hello per discussion morning interested find out further customize po template version extremely hard too lengthy attached sample file outcome produce by per discussions back few points wanted cover were addition phone under section intention automatically these by near future text saying invoice rejected po number reference mandatory po removal promised date requested date po body highlighted yellow addition inside po table avoid confusion etc kind regards,4,4
types amendments hi please best regards analyst tuesday types amendments hi please help seems type amended correctly extracted report let questions thanks mobility officer ext re doc report issues la ulterior intern care si tier short term consultant re doc report issues pare tip ca name unit entity country number type valid country issued date date colombia mobility officer ext,4,4
location hello please locations store human resources store human resources compliance administration view shared printer thank lead,3,3
strip hello needed striper provided,3,3
thursday july re card va ail alt card july card va ne card care ca analyst ext hub july re card la va ii alt card wednesday july pm card va analyst ext hub,1,1
increase mailbox size hi possible please increase mailbox size constantly running out frequently receive large design files cheers head digital,4,4
re port hi please help whit opening base environment connect port help opening port order connect via assign please communication via port thanks best regards engineer wednesday pm re port hi environment connect port help opening port order connect via thanks thursday pm re ports hi correspondent job working other cannot test until next production suppose everything thanks thursday pm re ports hi confirmation required ports opened connected escape character closed connected escape character closed please let best regards engineer pm re ports hi tested everything looks fine test next production also missed out ports needed by deploy deploy production jobs well regards wednesday pm re ports hi few minutes ago informed required ports opened root connected escape character closed root connected escape character please run jobs let everything working expected thank engineer tuesday re ports hi please informed registration number engineer responsible today change his best order implement best regards engineer pm re ports hello updates currently shut down deliver regards wednesday pm ports dear please help accessing ports additionally also slaves configuration needed troubleshooting details root connect timed out port accessible client escape character ctrl thanks engineer,0,0
sent tuesday february connection hello we experience some connection issues we had problems past background we used connection get access via hopping station following until friday everything worked fine but since monday we unable connect those servers anymore currently we conducting investigations also with tag colleagues but we want know if something changed could you please matter thanks best regards acceptance test tem parental control subscriber rights statistic ext en,0,0
re required thank much confirmation added help creating folder great treated priority since waiting while additional needed please let thank lead,4,4
sent monday march guest cards lost hi please disable following guest cards enable ones guest guest guest guest guest guest guest guest guest guest guest guest guest thank you manager,2,2
hello please advised logged side kindly log side let requested users out checklist thanks best regards analyst tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,4,4
purchase po dear purchased received items xxx lite updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,3,3
leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor bench area seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments work bench area near needed tickets automatically logged best regards note mailbox receive messages,4,4
sent monday december software issues importance high hello please treat incident with high priority having trouble using software made by called enter program uses client installed locally her machine database server installed hyper while tried logging server noticed performance awfully slow can we restart server if nothing except software hosted thank you engineer ext en,0,0
expense mileage report hi add existing report create expense report mileage claimed far table contains mileage person cum mileage table shows cumulative mileage has entered far needs linked name hi kind enough cheers,4,4
sent tuesday issues hi have some troubles connecting some like slack web problem appeared when we moved building also since changed password every prompted enter old password for some also asked provide credentials each thanks,0,0
friday february pm leaver card care,1,1
re joiner card hi also elevator ground floor tested level thanks tested level thanks october joiner card hello colleague joined today caps his card work floor please activate his card number kind regards agile,1,1
sent monday november working after update hello following applying latest update apple working get screen saying connect have tried but also unable restore please can you if can be fixed thanks manager,3,3
visitors cards hi please help configuring more visitor cards secured floor cards by visitors reason more visits upcoming period please provide selected cards details thanks,1,1
pm card leaver hello card has returned card belongs has left today card damaged thank,1,1
complete colombia dear please help completed form internship student intern joining well please complete going his where he going seated thank compliance officer colombia,3,3
hi please help doing configurations add machines mentioned appreciate resolution topic given working against tight schedule these machines impacts progress thank friday pm date database name name name database name name name database name name name database name name name user pass center logo sept,0,0
joiner card hello we have colleague joined today caps his card does work th floor can you please activate access for his card number kind regards agile manager,2,2
hi please interview tomorrow he december thank,2,1
tuesday re maternity leaver form care la pre post natal ext tuesday re maternity leaver form maternity leave si wednesday pm maternity leaver form hello please help by filling out maternity leaver form thank ext,1,1
sent monday door open floor tower dear could you please fix door floor tower because close properly we consider could lead thank you information confidential be legally privileged intended solely for addressee any opinions expressed mine necessarily represent opinions susceptible interference if you intended recipient any disclosure copying or any action taken or omitted be taken reliance strictly prohibited be unlawful if you have received message error open any attachments but please notify delete message your accepts responsibility for information errors or omissions or for use or misuse or for any act committed or omitted connection with communication if doubt please verify authenticity contents,2,2
sent wednesday november cable th floor hello can connect through cable can access though need be able connect thank you developer en,3,3
card leaver si predate va sis,2,1
leaver cards dear colleagues please note received cards belonging leavers damaged destroyed assigned damaged destroyed cards leavers re great weekend best regards,1,1
hello pleases switch traffic supplied by complain about performance issues while client traffic toward less capable rather than more capable please action entire cannot work due issues caused by high latency packet loss thank lead,0,0
backup storage error occurred disk dear user hard disk had error working properly after several retries caused by bad sectors error occurs again please back run test hard drive examine hard drive status sincerely,0,0
sent thursday march there addresses available for or hello have laptop installed can connect wireless laptop wireless address check log server got following events log client request was dropped since applicable address ranges out available addresses could be because address ranges policy being out available addresses there addresses available for or thanks technician,0,0
wants testing please thank accept decline requests,4,4
booking hi please help extending date continue booking effort against thread thank pm re booking probably originally calendar hopefully extend investigate how done thanks booking booked experienced starting allocating code offer engagements rejected active task booking until feasible date task extended sorry bother,4,4
